wavelength,Rh1_fit_norm,Rh3_fit_norm,Rh4_fit_norm,Rh5_fit_norm,Rh6_fit_norm
547,0.437895381,1.69354E-06,0.00037264,0.174297833,0.632153735
548,0.433053678,1.48977E-06,0.000343617,0.169459734,0.640255693
549,0.428197742,1.30971E-06,0.000316723,0.16471875,0.648511617
550,0.423329161,1.15071E-06,0.000291813,0.160074267,0.656914813
551,0.418449512,1.01038E-06,0.000268751,0.155525623,0.665458055
552,0.413560359,8.86625E-07,0.000247409,0.151072113,0.674133582
553,0.408663255,7.77548E-07,0.000227668,0.146712988,0.682933102
554,0.403759736,6.8147E-07,0.000209415,0.142447458,0.691847791
555,0.398851323,5.96896E-07,0.000192545,0.138274692,0.700868304
556,0.393939525,5.22497E-07,0.000176962,0.134193824,0.70998478
557,0.389025832,4.5709E-07,0.000162572,0.130203952,0.719186849
558,0.384111716,3.99625E-07,0.00014929,0.126304139,0.728463646
559,0.379198635,3.49169E-07,0.000137037,0.122493417,0.737803819
560,0.374288025,3.04896E-07,0.000125737,0.118770787,0.747195549
561,0.369381306,2.66073E-07,0.000115321,0.115135225,0.756626561
562,0.364479877,2.3205E-07,0.000105724,0.111585676,0.766084145
563,0.359585118,2.02253E-07,9.68862E-05,0.108121062,0.775555173
564,0.354698387,1.76174E-07,8.875E-05,0.104740284,0.785026125
565,0.349821021,1.53364E-07,8.12634E-05,0.101442219,0.794483107
566,0.344954338,1.33424E-07,7.43775E-05,0.098225724,0.80391188
567,0.340099629,1.16006E-07,6.80469E-05,0.095089641,0.813297883
568,0.335258167,1.00799E-07,6.22293E-05,0.092032792,0.822626265
569,0.3304312,8.75322E-08,5.68855E-05,0.089053987,0.831881912
570,0.325619952,7.59646E-08,5.19791E-05,0.08615202,0.84104948
571,0.320825623,6.58851E-08,4.74762E-05,0.083325676,0.850113425
572,0.316049391,5.71078E-08,4.33454E-05,0.080573727,0.85905804
573,0.311292407,4.94695E-08,3.95576E-05,0.077894936,0.867867489
574,0.306555798,4.28264E-08,3.60859E-05,0.075288061,0.87652584
575,0.301840665,3.70525E-08,3.29052E-05,0.072751852,0.885017109
576,0.297148085,3.20374E-08,2.99925E-05,0.070285054,0.89332529
577,0.292479107,2.76841E-08,2.73262E-05,0.067886407,0.9014344
578,0.287834756,2.39075E-08,2.48867E-05,0.065554653,0.909328517
579,0.28321603,2.06335E-08,2.26556E-05,0.063288527,0.916991818
580,0.278623901,1.77968E-08,2.06159E-05,0.061086768,0.92440862
581,0.274059312,1.53407E-08,1.87521E-05,0.058948115,0.931563422
582,0.269523183,1.32154E-08,1.70498E-05,0.056871309,0.938440944
583,0.265016405,1.13776E-08,1.54955E-05,0.054855093,0.94502617
584,0.260539841,9.7893E-09,1.40772E-05,0.052898216,0.951304383
585,0.256094329,8.41755E-09,1.27833E-05,0.050999431,0.957261213
586,0.251680679,7.23357E-09,1.16036E-05,0.049157498,0.962882667
587,0.247299674,6.2123E-09,1.05283E-05,0.047371182,0.968155178
588,0.24295207,5.33193E-09,9.54879E-06,0.045639258,0.973065635
589,0.238638594,4.57351E-09,8.65679E-06,0.043960508,0.977601423
590,0.234359948,3.92055E-09,7.84486E-06,0.042333725,0.98175046
591,0.230116806,3.35875E-09,7.10615E-06,0.040757709,0.985501231
592,0.225909816,2.87568E-09,6.43432E-06,0.039231274,0.988842819
593,0.221739597,2.46057E-09,5.8236E-06,0.037753243,0.991764944
594,0.217606742,2.10409E-09,5.26866E-06,0.036322452,0.994257983
595,0.213511818,1.79815E-09,4.76463E-06,0.03493775,0.996313007
596,0.209455364,1.53575E-09,4.30704E-06,0.033597999,0.997921806
597,0.205437894,1.31083E-09,3.89177E-06,0.032302073,0.999076909
598,0.201459894,1.11817E-09,3.51509E-06,0.031048861,0.999771613
599,0.197521826,9.53231E-10,3.17356E-06,0.029837269,1
600,0.193624123,8.12125E-10,2.86402E-06,0.028666214,0.999756955
601,0.189767195,6.91482E-10,2.5836E-06,0.027534629,0.999038185
602,0.185951426,5.88398E-10,2.32967E-06,0.026441466,0.997840227
603,0.182177173,5.00373E-10,2.09983E-06,0.02538569,0.996160467
604,0.17844477,4.25255E-10,1.89188E-06,0.024366281,0.99399714
605,0.174754525,3.61192E-10,1.70382E-06,0.023382239,0.991349343
606,0.171106722,3.06591E-10,1.53381E-06,0.022432579,0.988217035
607,0.167501622,2.60084E-10,1.3802E-06,0.021516332,0.984601039
608,0.163939459,2.20496E-10,1.24146E-06,0.020632548,0.98050304
609,0.160420448,1.86818E-10,1.1162E-06,0.019780292,0.975925581
610,0.156944776,1.58187E-10,1.00316E-06,0.018958648,0.970872056
611,0.153512611,1.33862E-10,9.01201E-07,0.018166718,0.965346703
612,0.150124097,1.13207E-10,8.09266E-07,0.017403619,0.959354588
613,0.146779355,9.56806E-11,7.26409E-07,0.016668487,0.952901596
614,0.143478485,8.08178E-11,6.51765E-07,0.015960477,0.94599441
615,0.140221566,6.82217E-11,5.84549E-07,0.01527876,0.938640494
616,0.137008657,5.75534E-11,5.24047E-07,0.014622523,0.930848073
617,0.133839794,4.85235E-11,4.69613E-07,0.013990975,0.92262611
618,0.130714993,4.08852E-11,4.20659E-07,0.013383337,0.913984276
619,0.127634253,3.44281E-11,3.76651E-07,0.012798853,0.90493293
620,0.124597551,2.89729E-11,3.37108E-07,0.012236781,0.895483085
621,0.121604846,2.43671E-11,3.01591E-07,0.011696395,0.885646378
622,0.118656078,2.04809E-11,2.69704E-07,0.011176991,0.875435041
623,0.11575117,1.72039E-11,2.41089E-07,0.010677877,0.864861862
624,0.112890025,1.44423E-11,2.1542E-07,0.010198381,0.853940153
625,0.110072532,1.21166E-11,1.92404E-07,0.009737847,0.842683715
626,0.107298562,1.01591E-11,1.71776E-07,0.009295634,0.831106796
627,0.104567967,8.51262E-12,1.53296E-07,0.00887112,0.819224057
628,0.101880588,7.1286E-12,1.36747E-07,0.008463698,0.807050532
629,0.099236246,5.96593E-12,1.21934E-07,0.008072776,0.794601586
630,0.09663475,4.98982E-12,1.08681E-07,0.00769778,0.781892878
631,0.094075893,4.17084E-12,9.68274E-08,0.007338149,0.768940317
632,0.091559455,3.48414E-12,8.6231E-08,0.00699334,0.755760027
633,0.0890852,2.90871E-12,7.67624E-08,0.006662823,0.742368299
634,0.086652883,2.42682E-12,6.83049E-08,0.006346085,0.728781556
635,0.084262242,2.02352E-12,6.0754E-08,0.006042626,0.715016309
636,0.081913005,1.68621E-12,5.40152E-08,0.005751961,0.701089121
637,0.079604887,1.40425E-12,4.80039E-08,0.00547362,0.687016565
638,0.077337593,1.16873E-12,4.26437E-08,0.005207145,0.672815184
639,0.075110817,9.72108E-13,3.78662E-08,0.004952093,0.658501455
640,0.072924241,8.08068E-13,3.36099E-08,0.004708035,0.644091754
641,0.070777537,6.71296E-13,2.98195E-08,0.004474554,0.629602314
642,0.068670369,5.5733E-13,2.64454E-08,0.004251247,0.615049196
643,0.066602391,4.62428E-13,2.34432E-08,0.004037723,0.600448252
644,0.064573247,3.83449E-13,2.07731E-08,0.003833604,0.585815093
645,0.062582575,3.17764E-13,1.83993E-08,0.003638522,0.571165061
646,0.060630004,2.63168E-13,1.62898E-08,0.003452124,0.556513193
647,0.058715154,2.17819E-13,1.44161E-08,0.003274066,0.5418742
648,0.05683764,1.80173E-13,1.27524E-08,0.003104017,0.527262436
649,0.054997069,1.48941E-13,1.12759E-08,0.002941657,0.512691876
650,0.053193042,1.23048E-13,9.96603E-09,0.002786675,0.498176091
651,0.051425155,1.01593E-13,8.80451E-09,0.002638772,0.483728229
652,0.049692998,8.38276E-14,7.77497E-09,0.00249766,0.469360992
653,0.047996154,6.9126E-14,6.8628E-09,0.002363059,0.455086624
654,0.046334204,5.69676E-14,6.05496E-09,0.002234701,0.440916888
655,0.044706724,4.69187E-14,5.33982E-09,0.002112325,0.426863059
656,0.043113284,3.86185E-14,4.70703E-09,0.001995681,0.412935906
657,0.041553452,3.1767E-14,4.14732E-09,0.001884527,0.399145686
658,0.040026793,2.61148E-14,3.65248E-09,0.001778632,0.385502133
659,0.038532868,2.1455E-14,3.21516E-09,0.00167777,0.372014452
660,0.037071236,1.76156E-14,2.82886E-09,0.001581726,0.358691313
661,0.035641454,1.44543E-14,2.48775E-09,0.001490291,0.34554085
662,0.034243075,1.18529E-14,2.18669E-09,0.001403266,0.332570657
663,0.032875653,9.71358E-15,1.92108E-09,0.001320458,0.319787787
664,0.031538739,7.95534E-15,1.68684E-09,0.001241682,0.307198757
665,0.030231883,6.51122E-15,1.48037E-09,0.001166759,0.294809548
666,0.028954635,5.32583E-15,1.29844E-09,0.001095519,0.282625613
667,0.027706544,4.35343E-15,1.13821E-09,0.001027796,0.270651877
